variable,long_name,standard_name,cell_methods,cell_measures,units,positive,dimensions,modeling_realm,frequency
zg200,Geopotential Height,geopotential_height,time: mean,area: areacella,m,NA,longitude latitude plev19 time,atmos,mon
zg500,Geopotential Height,geopotential_height,time: mean,area: areacella,m,NA,longitude latitude plev19 time,atmos,mon
zg850,Geopotential Height,geopotential_height,time: mean,area: areacella,m,NA,longitude latitude plev19 time,atmos,mon
o3,Mole Fraction of O3,mole_fraction_of_ozone_in_air,time: mean,area: areacella,mol mol-1,NA,longitude latitude plev19 time,atmos atmosChem,mon
o3,Mole Fraction of O3,mole_fraction_of_ozone_in_air,area: mean time: mean within years time: mean over years,area: areacella,mol mol-1,NA,longitude latitude plev19 time2,atmos atmosChem,monC
co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,time: mean,area: areacella,mol mol-1,NA,longitude latitude plev19 time,atmos,mon
co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,area: mean time: mean within years time: mean over years,area: areacella,mol mol-1,NA,longitude latitude plev19 time2,atmos,monC
co2mass,Total Atmospheric Mass of CO2,atmosphere_mass_of_carbon_dioxide,area: time: mean,NA,kg,NA,time,atmos,mon
co2mass,Total Atmospheric Mass of CO2,atmosphere_mass_of_carbon_dioxide,area: mean time: mean within years time: mean over years,NA,kg,NA,time2,atmos,monC
ch4,Mole Fraction of CH4,mole_fraction_of_methane_in_air,time: mean,area: areacella,mol mol-1,NA,longitude latitude plev19 time,atmos atmosChem,mon
ch4,Mole Fraction of CH4,mole_fraction_of_methane_in_air,area: mean time: mean within years time: mean over years,area: areacella,mol mol-1,NA,longitude latitude plev19 time2,atmos atmosChem,monC
ch4global,Global Mean Mole Fraction of CH4,mole_fraction_of_methane_in_air,area: time: mean,NA,1.00E-09,NA,time,atmos atmosChem,mon
ch4global,Global Mean Mole Fraction of CH4,mole_fraction_of_methane_in_air,area: mean time: mean within years time: mean over years,NA,1.00E-09,NA,time2,atmos atmosChem,monC
n2o,Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,time: mean,area: areacella,mol mol-1,NA,longitude latitude plev19 time,atmos atmosChem,mon
n2o,Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,area: mean time: mean within years time: mean over years,area: areacella,mol mol-1,NA,longitude latitude plev19 time2,atmos atmosChem,monC
n2oglobal,Global Mean Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,area: time: mean,NA,1.00E-09,NA,time,atmos atmosChem,mon
n2oglobal,Global Mean Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,area: mean time: mean within years time: mean over years,NA,1.00E-09,NA,time2,atmos atmosChem,monC
cfc11global,Global Mean Mole Fraction of CFC11,mole_fraction_of_cfc11_in_air,area: time: mean,NA,1.00E-12,NA,time,atmos atmosChem,mon
cfc12global,Global Mean Mole Fraction of CFC12,mole_fraction_of_cfc12_in_air,area: time: mean,NA,1.00E-12,NA,time,atmos atmosChem,mon
hcfc22global,Global Mean Mole Fraction of HCFC22,mole_fraction_of_hcfc22_in_air,area: time: mean,NA,1.00E-12,NA,time,atmos atmosChem,mon
cfc113global,Global Mean Mole Fraction of CFC113,mole_fraction_of_cfc113_in_air,area: time: mean,NA,1.00E-12,NA,time,atmos atmosChem,mon
pfull,Pressure at Model Full-Levels,air_pressure,area: mean time: mean within years time: mean over years,area: areacella,Pa,NA,longitude latitude alevel time2,atmos,monC
phalf,Pressure on Model Half-Levels,air_pressure,area: mean time: mean within years time: mean over years,area: areacella,Pa,NA,longitude latitude alevhalf time2,atmos,monC
